#transcript	length	unique_read_num	multiple_read_num
NM_001353934	559	332	162222
NM_180964	755	392	188276
NM_183071	1312	595	292146
NM_180965	852	804	184484
NM_213336	1459	427	304724
NM_200086	1012	668	199412
NM_131263	1753	756	333944
NM_199782	2184	3007	405758
NM_213439	1234	426	227820
ENSDART00000165480	521	525	95562
NM_001281721	1433	378	228880
NM_201584	658	191	103426
NM_130926	621	342	92244
NM_001110403	2335	990	346552
NM_213302	1639	938	240196
NM_200303	785	1710	113158
NM_213180	1506	351	215488
NM_001024409	1233	184	167850
NM_214773	1667	493	222420
NM_131585	1058	506	140604
NM_181601	1767	348	234744
NM_200298	785	380	104054
NM_212758	782	288	98752
NM_001327928	826	172	102554
NM_153644	800	339	96446
NM_200458	2810	527	333756
NM_173247	1264	231	148652
NM_001105108	1254	383	143724
NM_212909	1162	632	128514
NM_001243178	360	87	39202
NM_213058	2340	281	252460
NM_212818	1632	790	173466
NM_200026	515	170	53474
NM_130939	1435	867	144938
NM_001313770	853	175	85250
NM_213092	1589	289	153486
NM_200732	483	182	46538
NM_200845	453	125	41728
NM_001017593	1279	4353	113426
NM_213641	1708	466	152086
NM_001037424	1074	283	94984
NM_001017797	1307	1662	113998
NM_201318	1400	1022	122146
NM_001031676	2397	1584	208564
NM_212996	717	173	62658
NM_212584	1391	256	121278
NM_200008	762	175	64384
NM_001309644	1435	266	121144
NM_001089351	631	884	52372
NM_001126457	1515	824	126672
NM_212833	990	853	81558
NM_199430	1480	710	121730
NM_198121	1234	183	101724
NM_001100070	893	66	72418
NM_200034	781	695	62308
NM_001002106	1038	93	83340
NM_001003432	636	88	50246
NM_001076652	2835	564	220008
NM_131444	1040	839	79774
NM_205613	901	327	69248
NM_131513	1495	620	112790
NM_201477	1088	269	82238
NM_198140	1041	167	78036
NM_201101	887	252	65428
NM_001002068	805	522	58816
ENSDART00000153433	194	248	13996
NM_214696	2658	1849	192234
NM_001040321	1659	979	118674
NM_131310	2699	305	193232
NM_001040043	498	79	35558
NM_001004674	895	181	63790
NM_001098392	1870	940	132364
NM_173224	998	209	69838
NM_173235	635	94	43918
NM_001013265	1080	2181	72450
NM_001089544	1215	116	83654
NM_173222	1437	191	98792
NM_130948	1240	669	84646
NM_001128336	1845	445	125228
NM_001003869	1684	272	114058
NM_199823	1848	1093	123028
NM_213204	482	1505	30452
NM_001002677	1296	528	85116
NM_200852	722	68	47356
NM_213168	2419	317	157732
NM_001013533	2369	748	153868
NM_001002078	399	57	25730
NM_001002139	610	54	39340
NM_001009889	2617	456	168530
NM_200046	629	69	40230
NM_173234	483	181	30746
NM_200171	1702	200	108432
NM_200815	451	62	28708
NM_199481	1939	297	122150
NM_001002486	304	50	19120
NM_213019	1049	116	65742
NM_001033107	2124	396	130994
NM_001001399	1042	113	63522
NM_131883	2454	1579	146710
NM_001256780	2608	423	155896
NM_205667	963	168	57004
NM_213028	696	66	41152
NM_200104	1558	2750	89334
NM_212708	2973	975	174164
NM_213364	2853	370	166190
NM_199535	768	142	44246
NM_198809	1593	146	91860
NM_212932	1336	530	76456
NM_199949	1010	101	57792
NM_001098730	1026	442	58196
NM_001077535	2030	466	115332
NM_213178	1954	418	110464
NM_200949	1869	305	105290
NM_199546	1638	452	91488
NM_001002527	968	186	53718
NM_213124	1505	160	82422
NM_201060	620	72	33630
NM_130925	1985	6508	101108
NM_212587	1840	570	98880
NM_001201442	683	76	36674
NM_200752	630	118	33534
NM_213034	513	44	27316
NM_001002081	568	92	30160
NM_152949	1899	818	99690
NM_001003844	919	78	48530
NM_201336	2817	376	146862
NM_001079973	1842	341	95118
NM_201217	2259	357	116168
NM_199428	1597	273	82052
NM_212675	1290	959	65094
NM_200047	832	97	42458
NM_001044959	1736	228	88020
NM_001001593	537	35	27040
NM_001123007	734	161	36760
NM_001004652	514	97	25444
NM_001161599	1896	1687	91862
NM_001100436	441	36	21568
NM_001003890	2344	834	112520
NM_145195	489	563	22998
NM_213638	1000	150	47970
NM_213013	986	76	47254
NM_001017769	1380	217	65748
NM_001077355	1851	122	88310
NM_214714	2273	365	107876
NM_001045388	833	93	39070
NM_001002866	472	64	22064
NM_001017574	1635	231	76088
NM_212953	298	43	13864
NM_001145359	1212	133	56298
NM_131734	904	115	41538
NM_213113	524	53	24004
NM_198143	657	574	29522
NM_001006022	1281	577	58034
NM_001105526	393	55	17922
NM_197937	499	1512	21240
NM_001256190	1048	183	47520
NM_212977	1620	177	73324
NM_201513	1945	219	87544
NM_131047	1625	423	72648
NM_213317	2315	2181	100862
NM_213493	1980	877	87014
NM_201065	1326	691	58062
NM_131247	1497	1465	64594
NM_001001590	1354	80	59618
NM_212937	1764	903	76164
NM_200750	463	128	20070
NM_130922	2069	227	89864
NM_131031	1672	163	72460
NM_199548	1566	227	67452
NM_001045402	900	2983	35764
NM_001002079	503	71	21582
NM_201061	504	32	21618
NM_213334	944	181	40224
NM_001309531	1197	479	50722
NM_001130192	3149	306	133540
NM_131309	1418	150	60022
NM_131176	1454	140	61548
NM_001002069	344	113	14432
NM_001077804	1835	179	77402
NM_001044324	3798	697	159818
NM_130995	2082	285	87136
NM_200771	1335	142	55822
NM_173251	890	99	37092
NM_213293	1692	1293	69290
NM_001320404	2510	995	103570
NM_131294	747	113	30936
NM_001327745	2576	811	105724
NM_205562	1110	150	45750
NM_001326706	1360	756	55200
NM_214793	694	102	28108
NM_199983	2598	178	105356
NM_213351	1541	149	62390
NM_201192	2166	252	87528
NM_001080176	1395	126	56386
NM_001110126	1521	122	61488
NM_201468	1862	215	75128
NM_131404	1466	118	59066
NM_199925	1383	349	55404
NM_213148	1200	180	48194
NM_200056	904	118	36184
NM_213377	570	78	22714
NM_199708	2037	523	80702
NM_131702	2559	243	101732
NM_199956	2049	273	81264
NM_213466	1532	219	60482
NM_130941	4366	718	172246
NM_200650	2313	676	90476
NM_200961	1367	331	53518
NM_213079	1728	431	67504
NM_199888	2218	326	86706
NM_201214	1758	325	68238
NM_205673	1403	204	53910
NM_199771	1782	262	68322
NM_001003548	978	195	37418
NM_212603	1499	492	56876
NM_199569	1523	268	57956
NM_200765	520	215	19598
NM_001003414	1644	512	61640
NM_213188	2624	386	98718
NM_200502	613	41	23100
NM_001045349	1628	148	61168
NM_212566	1185	120	44452
NM_213464	2597	302	97148
NM_212709	1904	281	70500
NM_001126422	735	2335	24908
NM_001327845	953	147	35160
NM_001044754	1503	351	55138
NM_194264	1218	105	44652
NM_198366	2668	806	97144
NM_001040375	927	229	33460
NM_001017896	893	114	32290
NM_201146	561	36	20300
NM_213479	1687	255	60886
NM_212784	763	52	27590
NM_213182	1676	344	60300
NM_001256193	1325	90	47798
NM_214723	1488	76	53492
NM_200027	727	64	26074
NM_001043323	817	607	28764
NM_213510	2570	133	92030
NM_200713	813	106	28890
NM_001020605	737	43	26206
NM_001319650	804	44	28496
NM_001199720	2183	520	76868
NM_194398	1339	110	47324
NM_001115095	3041	244	107356
NM_199275	1743	127	61216
NM_131189	4935	245	172536
NM_001288658	2035	144	70770
NM_212657	2706	336	93878
NM_001002203	755	318	25964
NM_001002378	887	117	30602
NM_213080	2202	233	75992
NM_213015	1944	3940	63232
NM_173233	520	55	17880
NM_200766	1140	279	39034
NM_199719	1526	157	52328
NM_200919	1303	157	44508
NM_001100089	1610	191	54826
NM_001015060	2812	240	95744
NM_200107	1423	818	47738
NM_001198751	711	66	24184
NM_001110121	508	37	17260
NM_131573	742	56	25168
NM_201579	1950	339	65648
NM_205580	1191	84	39918
NM_001013345	888	98	29710
NM_001013536	1099	81	36764
NM_001030247	2625	192	86764
NM_001002160	1522	154	50172
NM_001007153	1209	745	38936
NM_001089427	2563	140	83882
NM_001076732	519	40	16964
NM_001077322	723	630	23008
NM_213277	2437	208	78904
NM_212632	2072	96	67144
NM_001003447	678	88	21876
NM_213417	619	49	19992
NM_200029	495	41	15898
NM_213639	1142	54	36670
NM_001127470	488	447	15242
NM_001079912	2214	158	70602
NM_198806	2485	289	79116
NM_182866	2633	199	82996
NM_001271817	931	76	29306
NM_213107	1258	226	39242
NM_173263	1471	86	45968
NM_213208	687	40	21422
NM_200720	900	114	27940
NM_199761	1288	155	39944
NM_131220	1791	268	55462
NM_214718	2014	697	61910
NM_201052	1066	57	33060
NM_001045013	3195	1118	98060
NM_001003429	771	69	23674
NM_001302478	479	60	14686
NM_213279	889	71	27274
NM_198807	2455	191	75242
NM_001024429	1877	86	57510
NM_131599	1227	689	36954
NM_200694	868	68	26554
NM_200023	654	57	19962
NM_200025	417	34	12648
NM_201153	832	36	25266
ENSDART00000176179	244	7408	12
NM_173236	2213	263	66964
NM_001017400	1168	175	35284
NM_001270554	2133	102	64628
NM_214721	859	67	25992
NM_213236	1566	630	46862
NM_001105695	881	143	26570
NM_198870	2196	406	65734
NM_001003731	915	100	27390
NM_001002155	566	96	16852
NM_212703	3846	318	114844
NM_200259	1808	351	53738
NM_001044779	1182	196	35164
NM_200030	265	2612	5312
NM_214699	1423	101	42322
NM_001083577	3079	785	90956
NM_001037222	1931	282	56816
NM_001033595	4350	484	128124
NM_001007375	881	68	25936
NM_001110414	1505	257	43954
NM_001007168	1086	275	31564
NM_201463	1857	192	54236
NM_001309525	2542	317	74108
NM_212790	1357	226	39394
NM_131761	833	86	24020
NM_199734	1635	109	47188
NM_212671	1372	125	39556
NM_001080087	1141	254	32736
NM_201050	1959	197	56430
NM_131112	2386	2502	66396
NM_131376	1589	88	45784
NM_201191	379	56	10880
NM_199749	1558	375	44270
NM_201122	430	104	12204
NM_213002	1422	112	40506
NM_001003868	590	210	16606
NM_200096	1729	133	49122
NM_213185	1250	641	34966
NM_001004601	3178	555	89566
NM_001002037	2089	1108	58084
NM_001115114	1300	67	36766
NM_001024407	769	84	21608
NM_001199436	4653	913	130154
NM_212762	435	83	12154
NM_201298	2030	172	56912
NM_199432	2083	275	58204
NM_001017700	639	236	17690
NM_001045049	1708	69	47840
NM_001001819	490	43	13580
NM_001002505	686	247	18818
NM_199779	2398	101	66498
NM_201475	1685	799	45888
NM_201039	867	914	23078
NM_001017858	1127	56	31056
NM_131874	1663	130	45734
NM_001024098	2200	140	60512
NM_201203	1616	164	44336
NM_001034970	1734	846	46890
NM_199588	1289	70	35366
NM_201480	1497	135	40666
NM_201492	2157	270	58462
NM_001126388	3177	1342	84950
NM_199725	632	381	16720
NM_200736	1253	511	33312
NM_001025453	1464	92	39378
NM_001005589	851	32	22886
NM_200495	1495	315	39918
NM_213104	2249	627	59832
NM_200028	466	101	12398
NM_001002703	931	68	24868
NM_200565	1411	88	37612
NM_001002697	1052	302	27792
NM_001003861	634	2251	14656
NM_213722	1391	65	37022
NM_131493	1109	77	29482
NM_131670	1758	1029	45744
NM_001003995	1512	464	39726
NM_001002596	1471	262	38826
NM_199636	728	55	19190
NM_001105277	2672	149	70364
NM_001083544	548	24	14418
NM_001177453	903	133	23652
NM_001002867	8579	1076	224594
NM_200302	1501	140	39306
NM_001159528	565	37	14794
NM_201323	1231	82	32102
NM_001031671	1213	67	31614
NM_199996	1431	204	37040
NM_212993	966	56	25042
NM_001199675	1110	142	28412
NM_001017739	862	39	22132
NM_001002082	950	105	24300
NM_153669	2212	138	56684
NM_001131053	552	161	13982
NM_131512	2178	125	55610
NM_001025503	1688	106	43044
NM_001002468	1022	38	26078
NM_205760	1498	101	38166
NM_198142	2269	440	57508
NM_001199737	2076	88	52830
NM_001003758	1471	85	37332
NM_001290080	3280	241	82872
NM_173232	700	38	17656
ENSDART00000164466	348	503	8292
NM_213014	1822	1591	44410
NM_001003598	838	43	21048
NM_198210	2720	201	68236
NM_001199367	1107	39	27806
NM_173252	721	38	18068
NM_201460	2889	222	72270
NM_212681	1104	185	27422
ENSDART00000117474	71	1198	566
NM_001089428	3015	406	74316
NM_001328507	1428	144	35224
NM_200059	1469	33	36308
NM_001017874	1045	79	25676
NM_213486	1795	138	44086
NM_213262	2403	402	58798
NM_212802	2687	218	65866
NM_213010	1631	150	39924
NM_173249	703	60	17206
NM_205559	2111	282	51550
NM_200972_2	1057	64	25866
NM_001003840	1070	111	26082
NM_200696	785	156	19012
NM_001025530	1320	457	31652
NM_001123389	4247	1592	100974
NM_201483	2936	152	70734
NM_001076629	1060	227	25352
NM_200881	1996	158	47892
NM_200182	2697	164	64702
NM_001002448	1520	161	36366
NM_199576	2107	122	50500
NM_001003640	1732	94	41486
NM_001025460	2415	2557	55404
NM_213072	1521	134	36260
NM_200911	1640	874	38316
NM_200975	1284	58	30586
NM_001003618	1299	255	30740
NM_001202477	1456	461	34280
NM_201315	2419	200	57472
NM_001328342	1608	107	38112
NM_213070	1739	86	41212
NM_131455	2783	174	65762
NM_001302634	1322	141	31048
NM_001080041	2858	376	66938
NM_205599	1107	132	25928
NM_001077759	1821	329	42450
NM_212591	1717	244	40064
ENSDART00000147450	927	173	21568
NM_001006005	498	822	10804
NM_199575	2146	103	49940
NM_001007456	1865	182	43232
NM_001030241	823	240	18896
NM_001002525	1577	326	36308
NM_200053	755	111	17398
NM_001080184	1867	306	42626
NM_213382	1769	160	40498
NM_131580	1081	44	24758
NM_206829	1328	196	30138
NM_001320326	2130	356	48256
NM_001024399	989	29	22524
NM_001002604	1704	101	38748
NM_201087	3796	254	86280
NM_173258	1894	886	42276
NM_001004296	3558	876	79974
NM_212990	1305	24	29582
NM_001024403	693	65	15632
NM_200304	1822	74	41134
NM_212723	3491	361	78578
NM_212597	953	65	21454
NM_205541	1833	120	41166
ENSDART00000140321	936	1024	20054
NM_001079961	2760	93	61922
NM_001006082	1057	43	23670
NM_001172570	2593	390	57666
NM_131572	903	86	20056
NM_001007059	822	39	18214
NM_199778	1440	657	31310
NM_213535	1851	209	40844
NM_131351	1260	88	27850
NM_199724	483	32	10664
NM_199671	1288	92	28396
NM_001118895	1758	88	38638
NM_199729	1901	1902	39974
NM_200839	1497	59	32864
NM_001042769	1471	791	31556
NM_200094	2754	132	60408
NM_001320425	2084	2207	43582
NM_199683	1121	105	24512
NM_001020749	1069	43	23384
NM_001002546	1137	161	24684
NM_001044395	1041	33	22686
NM_201287	2030	573	43594
NM_131069	2357	123	51086
NM_001002163	608	31	13174
NM_001002874	891	84	19248
NM_212757	1834	83	39648
NM_001007055	1328	386	28380
NM_001002050	1276	61	27562
NM_001006013	770	33	16632
NM_001007383	1101	52	23776
NM_152972	2976	109	64146
NM_201343	1686	89	36282
NM_001003437	962	68	20680
NM_213145	1383	144	29662
NM_152961	746	20	16056
NM_001080033	1298	65	27876
NM_001105599	1365	52	29304
NM_001103194	1392	125	29802
NM_001111168	1945	163	41578
NM_201005	1653	157	35264
ENSDART00000156641	866	1580	16920
NM_001004665	755	105	15998
NM_201305	3465	187	73562
ENSDART00000143495	686	1139	13406
NM_200431	2094	755	43632
NM_199746	2436	151	51396
NM_213068	2654	162	55940
NM_001017866	726	666	14658
NM_001009898	878	231	18296
NM_001045306	955	124	20002
NM_001013471	1225	41	25730
NM_001271474	826	393	16982
NM_201177	964	45	20232
NM_001013300	2429	122	50936
NM_001100406	1393	85	29168
NM_001033108	1865	697	38394
NM_001017601	516	719	10090
NM_001083837	2834	321	58940
NM_213257	2641	391	54788
NM_212676	1015	205	20958
NM_001002121	2041	350	42150
NM_199562	1746	266	36084
NM_212952	393	50	8126
NM_199994	1598	43	33162
NM_001098480	441	86	9072
NM_001202510	960	16	19912
NM_198070	2674	93	55218
NM_001017633	1921	1294	38398
NM_199640	2424	287	49748
NM_001145786	3154	126	64868
NM_213021	826	352	16640
NM_001076591	1014	98	20722
NM_213131	1415	130	28834
NM_001105132	2669	730	53898
NM_199839	2240	1649	44178
NM_201488	2650	1942	52178
NM_001033741	841	76	17090
NM_212605	1994	144	40534
NM_001044809	4571	250	92876
NM_001328551	1169	58	23746
NM_212766	2522	132	51206
NM_001002487	411	224	8138
NM_213490	1586	50	32184
NM_001003860	687	107	13852
NM_001126433	4113	302	83158
NM_001007364	1096	54	22150
NM_200227	509	133	10172
NM_001172556	1236	48	24940
NM_199591	1983	247	39832
NM_001002521	960	108	19270
NM_201331	1547	98	31128
NM_213331	1267	78	25476
NM_131355	3115	586	62120
NM_199998	1073	45	21540
NM_200129	1694	65	33984
NM_131820	3292	150	66000
ENSDART00000136246	732	1896	12794
NM_001045848	1378	77	27532
NM_200342	1260	51	25078
NM_001025186	1368	144	27096
NM_199516	2304	504	45330
NM_001007367	1852	740	36062
NM_212628	1695	590	33018
NM_205668	1493	132	29418
NM_213489	2128	592	41496
NM_194377	1599	49	31518
NM_199564	1259	595	24236
NM_131524	2159	117	42448
NM_001003532	1764	78	34588
NM_213428	1125	35	22060
NM_200295	1397	97	27340
NM_200860	1037	102	20208
NM_131637	1945	164	37916
NM_200621	3430	188	66936
NM_213053	2688	187	52224
NM_199863	2172	181	42132
NM_001002606	1391	565	26522
NM_001020758	1123	109	21734
NM_213350	1326	100	25678
NM_001004627	1345	76	26052
NM_001002557	975	177	18668
NM_001002534	818	100	15696
NM_001002335	1771	134	34042
NM_001002355	2291	184	43908
NM_001347672	7603	529	145776
NM_213235	2369	139	45400
NM_001080196	2669	98	51102
NM_200416	1414	121	26988
NM_001004641	1029	371	19348
NM_199669	1459	115	27790
NM_200959	1797	371	33952
NM_001089521	516	37	9814
NM_200544	1425	277	26868
NM_200801	1181	244	22208
NM_001017632	1861	177	35164
NM_199773	1731	870	31996
NM_001030075	4555	211	86090
NM_001309640	3873	203	73162
NM_001002698	998	107	18780
NM_001003888	644	79	12080
NM_001017745	3410	607	63652
NM_213644	826	32	15532
NM_199623	2532	929	46780
NM_198877	1044	94	19572
NM_001004635	1079	57	20252
NM_212832	2205	153	41324
NM_131252	2569	267	47970
NM_199480	2006	834	36822
NM_001005945	1105	50	20634
NM_001044332	2091	238	38870
NM_213045	1311	745	23768
NM_001005978	1296	285	23936
NM_201176	975	123	18098
NM_001126455	927	31	17286
NM_200177	1899	107	35360
NM_001005769	1842	83	34278
NM_001002104	1581	203	29224
NM_001004667	1392	893	25008
NM_200769	606	25	11214
NM_001030076	1433	524	26028
NM_200125	1594	141	29388
NM_001002535	994	93	18320
NM_001007347	1727	279	31694
NM_001159911	659	24	12160
NM_001113596	1641	219	30044
NM_200221	1906	92	34954
NM_200743	1036	98	18944
NM_131696	1734	153	31698
NM_001002575	1120	83	20486
NM_001305543	2242	143	41008
NM_001353848	2062	95	37710
NM_173266	486	129	8776
NM_181330	2728	90	49820
NM_001037122_2	1162	81	21156
NM_213462	1939	109	35282
NM_001005937	2939	119	53490
NM_201062	1892	127	34368
NM_173248	2072	78	37638
NM_199431	3428	86	62270
NM_001006048	1073	80	19436
NM_213294	1525	68	27664
NM_213298	1609	67	29180
NM_001081747	1861	110	33716
NM_200977	1154	59	20814
NM_200533	1158	77	20868
NM_200038	1491	101	26858
NM_001089347	2094	75	37744
NM_201308	3289	168	59224
NM_214811	2239	124	40298
NM_201084	2789	64	50286
NM_001003551	880	78	15794
NM_213370	1821	132	32656
NM_152973	2095	103	37618
NM_200291	1360	85	24402
NM_001198889	1425	283	25368
NM_001037691	926	41	16596
NM_212684	3555	184	63684
NM_001007774	1090	36	19526
NM_213093	1800	88	32148
NM_001004494	2262	1168	39312
NM_200130	1538	108	27410
NM_001017888	1008	90	17934
NM_198804	1162	123	20650
