"GeneNames"	"value1"	"value2"	"log2(Fold_change)"	"log2(Fold_change) normalized"	"z-score"	"p-value"	"q-value(Benjamini et al. 1995)"	"q-value(Storey et al. 2003)"	"Signature(p-value < 0.001)"
NM_131263	4020365	624121	2.68742882598003	2.89897283423799	1798.45754239463	0	0	0	TRUE
NM_214706	925437	82885	3.48095183992211	3.69249584818006	954.4355413811	0	0	0	TRUE
NM_130925	1002863	199680	2.32836279001887	2.53990679827682	834.900119338048	0	0	0	TRUE
NM_200080	787183	1102	9.48043103044458	9.69197503870254	816.403660465215	0	0	0	TRUE
NM_213223	567246	7867	6.17201713677523	6.38356114503319	809.898555439886	0	0	0	TRUE
NM_131509	1153832	254	12.1493170628517	12.3608610711097	793.791715396163	0	0	0	TRUE
NM_199782	56083	754438	-3.74976691502117	-3.53822290676321	-788.016849604065	0	0	0	TRUE
NM_131025	745405	925	9.65435541538862	9.86589942364658	784.683914379425	0	0	0	TRUE
NM_213277	726227	147321	2.30145747306109	2.51300148131904	706.004067029239	0	0	0	TRUE
NM_131031	658308	133807	2.29860913869753	2.51015314695548	671.69414526576	0	0	0	TRUE
NM_001008615	485805	1087	8.803881587959	9.01542559621696	670.779527861765	0	0	0	TRUE
NM_001281721	1121820	427562	1.39163566607187	1.60317967432983	656.03318144219	0	0	0	TRUE
NM_131098	689666	254	11.4068536324461	11.6183976407041	656.029765222443	0	0	0	TRUE
NM_213439	16314	424756	-4.70245186440376	-4.49090785614581	-636.064297126288	0	0	0	TRUE
NM_213180	8107	398929	-5.62082005013816	-5.4092760418802	-633.196941596947	0	0	0	TRUE
NM_183071	54981	538534	-3.29203237918872	-3.08048837093077	-627.440976949684	0	0	0	TRUE
NM_001130192	810398	251393	1.68868613499008	1.90023014324804	627.330446927678	0	0	0	TRUE
NM_001309644	740071	228025	1.69847167887832	1.91001568713627	601.492411887552	0	0	0	TRUE
NM_180964	5613	346683	-5.94870122453794	-5.73715721627998	-591.458525864085	0	0	0	TRUE
NM_213058	45589	468093	-3.36003752174702	-3.14849351348906	-590.836064567516	0	0	0	TRUE
NM_131156	561282	188	11.5437774163773	11.7553214246353	584.756320913927	0	0	0	TRUE
NM_180965	3176	342049	-6.75084828951991	-6.53930428126196	-582.715035695443	0	0	0	TRUE
NM_001110403	1306401	644491	1.01936568302737	1.23090969128532	580.135573503039	0	0	0	TRUE
NM_214773	32934	415759	-3.65809784383652	-3.44655383557856	-578.813149830159	0	0	0	TRUE
NM_212996	491293	118038	2.05733230204475	2.2688763103027	546.801335165453	0	0	0	TRUE
NM_001353934	7489	297762	-5.31324275090889	-5.10169874265094	-544.1735232706	0	0	0	TRUE
NM_212708	18850	327655	-4.11954111874841	-3.90799711049046	-537.802297184655	0	0	0	TRUE
NM_001256780	3068	289311	-6.55917888448329	-6.34763487622533	-537.768977756307	0	0	0	TRUE
NM_212818	18191	323976	-4.15459018439376	-3.9430461761358	-536.300800951528	0	0	0	TRUE
NM_212587	595144	185895	1.67875081587442	1.89029482413238	535.536063352137	0	0	0	TRUE
NM_200086	33157	369791	-3.47932472797601	-3.26778071971805	-533.838826605742	0	0	0	TRUE
NM_181601	957941	436502	1.13394853836078	1.34549254661874	531.95040715579	0	0	0	TRUE
NM_178437	544072	89	12.577704627243	12.7892486355009	523.610549395732	0	0	0	TRUE
NM_001037424	564427	175968	1.68147390570062	1.89301791395858	522.012815134555	0	0	0	TRUE
NM_131189	21149	319481	-3.91706878023614	-3.70552477197819	-521.523742556983	0	0	0	TRUE
NM_130939	6925	267895	-5.27370977354265	-5.06216576528469	-515.675950163318	0	0	0	TRUE
NM_200867	247356	14961	4.04731038075735	4.2588543890153	515.619058536511	0	0	0	TRUE
