	transcript	riboseq(control)	riboseq(RK33)	rnaseq(control)	rnaseq(RK33)	TE(control)	TE(RK33)	log2(TE(control))	log2(TE(RK33))
0	NM_001126388	55.6577621812	34.0604504778	103.904208277	150.794587651	0.535664176689	0.225873163012	-0.900599277907	-2.14641522694
1	NM_212849	15.6752546828	49.2423441037	44.8467396356	41.5494712359	0.349529415297	1.18514971765	-1.5165142215	0.245069323483
2	NM_001082993	7.90997799336	0.851947023327	8.54816722761	11.7565115762	0.925341980654	0.0724659706925	-0.111941450757	-3.78655251104
3	NM_001309488	0.849269530707	9.14708801081	11.0195169799	15.7222818232	0.0770695786627	0.581791378228	-3.69769468597	-0.781426178098
4	NM_001082994	2.74955077949	1.4807067757	30.7665052886	41.4124253509	0.0893683164109	0.0357551329861	-3.48409274381	-4.80570582055
5	NM_001100145	12.9157750902	13.9109819917	33.5907610478	21.5578423802	0.384503794714	0.645286376362	-1.3789302585	-0.631988528049
6	NM_001018083	3.69437710913	7.95808429255	27.9380239913	32.0453866059	0.132234731786	0.24833790868	-2.91882694077	-2.00962358976
7	NM_001100147	16.3066404309	19.6828132809	24.8209323336	17.5770530891	0.656971310011	1.11980166306	-0.60609772557	0.163243227769
8	NM_001288658	34.4181605585	65.3286374197	47.3054055707	65.4162964156	0.727573522376	0.998659982287	-0.458835053041	-0.00193453335305
9	NM_001002720	7.98348093815	13.9095596009	54.3655434796	50.9607425319	0.146848176753	0.272946564548	-2.76760274142	-1.87330955622
10	NM_001045378	42.3454220474	17.5416496321	0.434228707573	0.812615440775	97.5187068678	21.5866555715	6.60760709033	4.43206783829
11	NM_001083874	0.808031249484	4.35146481021	4.12638328755	6.05124063722	0.195820696522	0.719102919729	-2.35239484174	-0.475729827481
12	NM_001002721	7.12654651106	2.25755074674	56.1961361754	42.0691260552	0.126815596162	0.0536628867397	-2.97919591154	-4.21993152479
13	NM_001025491	1.32894954342	3.57837470793	5.31477845206	9.83347733658	0.250047966328	0.363897183616	-1.99972322342	-1.45839720941
14	NM_001288652	19.020636204	13.6574964005	45.978849787	38.746821225	0.413682297233	0.352480435006	-1.27340487345	-1.50438491426
15	NM_001045377	1.11693813766	12.0300223644	26.4119513904	28.1799356472	0.0422891183294	0.426900278092	-4.56356970732	-1.2280289925
16	NM_001288657	15.0540363059	3.68500089113	226.176544083	230.11351549	0.0665587864866	0.0160138394448	-3.90922705957	-5.96453694289
17	NM_213539	10.0961922148	1.64759698783	23.1992710187	25.9389084206	0.435194373421	0.0635183624968	-1.20026819062	-3.97668246949
18	NM_213538	4.1302604515	3.33638390035	38.3553472458	50.1894548474	0.107684084439	0.0664757947759	-3.21512305761	-3.91102706892
19	NM_001142563	18.6990775617	26.3736899761	35.2360918269	38.501124719	0.530679669401	0.685010896918	-0.914086815434	-0.545801156735
20	NM_001013501	0.477625792644	2.5721428849	13.7562492985	3.84216420251	0.0347206409451	0.669451577114	-4.84806260951	-0.578948388829
21	NM_213530	23.2745757875	56.9726489125	259.381278343	242.675178215	0.0897311322397	0.234769164822	-3.47824757436	-2.09068516123
22	NM_213533	10.5202707312	25.6294062851	20.1683320526	31.7394040886	0.521623241018	0.807494879663	-0.938919944348	-0.308474983202
23	NM_001198749	1.57721484274	10.6171557268	20.5025553202	24.0722634321	0.0769277203796	0.441053487004	-3.70035263258	-1.1809744714
24	NM_213536	5.30760742149	7.93969118555	154.849600998	132.107416909	0.0342758869722	0.0601002681857	-4.86666219004	-4.05648476108
25	NM_001161470	87.7798898645	101.296763505	129.75775772	86.8937844754	0.676490495882	1.16575384668	-0.563858429186	0.221263190202
26	NM_130939	803.348609853	456.755218469	2263.21049843	1674.69865285	0.354959739896	0.272738750755	-1.49427269378	-1.87440840178
27	NM_001164240	10.1015754151	16.3199071724	50.1678638939	50.2205379952	0.20135550193	0.32496480173	-2.31218320121	-1.6216446325
28	NM_001044940	1.14023078999	21.4915692488	35.7788400751	46.0603635633	0.0318688584537	0.466595736251	-4.97170884724	-1.09975497084
29	NM_199699	2.36095765356	1.05953247007	21.0602754685	28.9940153099	0.112104785006	0.0365431437745	-3.1570802364	-4.77425543669
30	NM_199697	10.9841747977	7.88702996851	90.5948624618	91.5724385265	0.12124500771	0.0861288625204	-3.04400274965	-3.53735941165
31	NM_001320078	0.978868205896	3.95360070033	14.5792713333	15.0736086089	0.0671410925497	0.262286278151	-3.89666017637	-1.93078576179
32	NM_130931	5.21651269543	1.56068437539	14.6807004996	15.534644145	0.355331320571	0.100464765129	-1.4927632347	-3.31523848489
33	NM_199694	112.266216318	70.882222131	381.614711306	302.281902183	0.294187338674	0.234490459466	-1.76519293811	-2.09239886879
34	NM_199692	20.5319962472	36.8567672806	142.417842346	149.647854396	0.14416730312	0.246289981432	-2.7941840938	-2.02157015171
35	NM_199691	6.97530317222	11.47785124	19.4741187181	31.1420007493	0.358183251997	0.368564991453	-1.48123021381	-1.44000905337
36	NM_200771	30.96303116	6.94767583743	141.467734687	180.83139845	0.218869915663	0.0384207383064	-2.19185442957	-4.70197094717
37	NM_200100	8.18851953221	4.89970799945	246.326861143	169.428788595	0.0332424953341	0.0289189814794	-4.9108275083	-5.11183944802
38	NM_200776	2.72896590735	18.3702658803	59.004316202	70.9317377345	0.046250275963	0.258985137923	-4.43439421595	-1.94905878485
39	NM_200774	22.785221371	13.1469131722	159.488205969	148.783260929	0.142864616431	0.0883628513726	-2.80727944942	-3.50041621614
40	NM_001002221	22.497630587	2.24362536114	37.1513516376	38.3268001993	0.60556694697	0.0585393340815	-0.723641632535	-4.09444985542
41	NM_001142586	681.378642028	930.724117806	2.48522831637	6.54543513779	274.171446358	142.194384057	8.09893451894	7.15172067687
42	NM_001042753	0.904460343061	2.43538065983	2.17337999923	1.34956833237	0.416153798867	1.80456268973	-1.26481128802	0.851649262706
43	NM_001002222	6.85792392373	6.33115852762	15.7767293736	36.5321765961	0.434686034179	0.173303622109	-1.20195435019	-2.52862628722
44	NM_001002225	0.549383926084	7.39644915707	2.87690502945	4.5461201189	0.190963525198	1.62698058204	-2.38863099087	0.702197032595
45	NM_001002226	14.7521936469	33.1018816665	20.8087889794	23.8059618395	0.708940518427	1.39048705067	-0.496263507436	0.475590309212
46	NM_001199436	79.7061265811	63.7878168439	616.26905569	490.656645599	0.12933657117	0.130004999252	-2.95079782604	-2.94336099273
47	NM_199219	0.836889508394	4.50687426772	4.12500230251	5.88130928145	0.20288219182	0.766304584922	-2.30128585819	-0.384010157286
48	NM_199218	23.298794909	12.8687440069	40.4442175381	61.2340587439	0.576072336844	0.210156639473	-0.795678114029	-2.25046305865
49	NM_199749	8.10676281173	3.96882637696	14.5855952147	31.7306923058	0.555806101321	0.125078467835	-0.847346423182	-2.99909464288
50	NM_199748	35.0458404897	34.7662814997	96.262213049	88.3542415442	0.364066432504	0.393487408098	-1.45772636672	-1.34561062577
51	NM_200177	17.5345759663	21.1649840545	150.517315876	150.274573814	0.116495406952	0.140842083377	-3.10165501982	-2.82784962166
52	NM_199213	15.2695071738	16.8865975293	9.42837017851	14.0295252441	1.61952775344	1.20364711104	0.695573191447	0.267412480321
53	NM_199744	4.91389046583	2.94029077285	16.3037083927	22.0452531959	0.301397102271	0.133375232605	-1.73026254842	-2.90643730779
54	NM_199211	10.8663634591	15.326215964	50.588540075	46.0017125685	0.214798913805	0.333166204219	-2.21894139696	-1.58568603116
55	NM_199746	27.8097421697	29.1910764352	297.405254725	293.036367389	0.093507904544	0.0996158828179	-3.41876786366	-3.32748040495
56	NM_199741	3.45154029714	9.29373471239	14.5664419693	25.6044380441	0.236951501569	0.362973586703	-2.07733629149	-1.46206352661
57	NM_199740	15.2859818451	1.58305977862	42.3383679274	64.0976542216	0.361043247376	0.0246976242398	-1.46975643496	-5.33948391972
58	NM_001281468	24.1471529444	11.5224332403	17.7844418308	18.9526359516	1.35776838959	0.6079594031	0.441237403232	-0.717953104939
59	NM_199589	6.74757535073	10.5984379205	27.5617291051	29.4027228982	0.244816837325	0.36045770173	-2.03022531181	-1.47209811998
60	NM_199588	17.8155532276	11.9926910305	127.047722064	147.615543288	0.14022725428	0.0812427388294	-2.83416131905	-3.62161731364
61	NM_199583	34.9610769089	13.0746366549	136.192583842	129.65696902	0.256703235394	0.100840215175	-1.96182661566	-3.30985699312
62	NM_199582	5.07609374676	1.36680625449	93.0837737266	83.8797388895	0.0545325306822	0.0162948320129	-4.19673908185	-5.93944171069
63	NM_001281462	1.20928110112	1.6280756965	3.49384196309	5.40537081336	0.346117859335	0.301195931364	-1.53066470984	-1.73122581306
64	NM_199580	35.3509403449	18.6641457752	85.0510659686	95.9184282621	0.415643707017	0.194583523869	-1.26658072606	-2.3615385381
65	NM_001135989	0.653879502003	1.76065817065	0.742038806834	1.7666710922	0.881193134349	0.996596468026	-0.182469840292	-0.00491863382049
